Date, perMb , perGenome 
2001-09-30,5292.39,95263072
2002-03-31,3898.64,70175437
2002-09-30,3413.8,61448422
2003-03-31,2986.2,53751684
2003-10-31,2230.98,40157554
2004-01-31,1598.91,28780376
2004-04-30,1135.7,20442576
2004-07-31,1107.46,19934346
2004-10-31,1028.85,18519312
2005-01-31,974.16,17534970
2005-04-30,897.76,16159699
2005-07-31,898.9,16180224
2005-10-31,766.73,13801124
2006-01-31,699.2,12585659
2006-04-30,651.81,11732535
2006-07-31,636.41,11455315
2006-10-31,581.92,10474556
2007-01-31,522.71,9408739
2007-04-30,502.61,9047003
2007-07-31,495.96,8927342
2007-10-31,397.09,7147571
2008-01-31,102.13,3063820
2008-04-30,15.03,1352982
2008-07-31,8.36,752080
2008-10-31,3.81,342502
2009-01-31,2.59,232735
2009-04-30,1.72,154714
2009-07-31,1.2,108065
2009-10-31,0.78,70333
2010-01-31,0.52,46774
2010-04-30,0.35,31512
2010-07-31,0.35,31125
2010-10-31,0.32,29092
2011-01-31,0.23,20963
2011-04-30,0.19,16712
2011-07-31,0.12,10497
2011-10-30,0.09,7743
2012-01-31,0.09,7666
2012-04-30,0.07,5901
2012-07-31,0.07,5985
2012-10-31,0.07,6618
2013-01-31,0.06,5671
2013-04-30,0.06,5826
2013-07-13,0.06,5550
2013-10-13,0.06,5096
2014-01-31,0.05,4008
