date,bases,open_access_bases,bytes,open_access_bytes
06/05/2007,20304190150,20304190150,50496285115,50496285115
04/04/2008,39753724527,39753724527,98607119768,98607119768
04/05/2008,41358022149,41358022149,1.02589E+11,1.02589E+11
04/09/2008,41807184131,41807184131,1.03727E+11,1.03727E+11
04/15/2008,41932946619,41932946619,1.04033E+11,1.04033E+11
04/17/2008,57328868847,57328868847,1.36713E+11,1.36713E+11
04/18/2008,59828290459,59828290459,1.42452E+11,1.42452E+11
04/19/2008,59994877055,59994877055,1.42799E+11,1.42799E+11
04/21/2008,61795910116,61795910116,1.46702E+11,1.46702E+11
04/23/2008,61874273517,61874273517,1.46892E+11,1.46892E+11
04/25/2008,78286121880,78286121880,2.58642E+11,2.58642E+11
04/26/2008,81230919552,81230919552,2.78876E+11,2.78876E+11
04/28/2008,81594141246,81594141246,2.81309E+11,2.81309E+11
04/29/2008,81656925854,81656925854,2.81468E+11,2.81468E+11
04/30/2008,81787664683,81787664683,2.81793E+11,2.81793E+11
05/07/2008,84012509923,84012509923,2.87074E+11,2.87074E+11
05/09/2008,84110889495,84110889495,2.87313E+11,2.87313E+11
05/10/2008,84155887254,84155887254,2.87427E+11,2.87427E+11
05/14/2008,85056296734,85056296734,2.8962E+11,2.8962E+11
05/16/2008,85379807692,85379807692,2.90419E+11,2.90419E+11
05/19/2008,85447456902,85447456902,2.90589E+11,2.90589E+11
05/23/2008,85474493057,85474493057,2.90655E+11,2.90655E+11
06/02/2008,90922163010,90922163010,3.43871E+11,3.43871E+11
06/03/2008,1.01807E+11,1.01807E+11,4.45779E+11,4.45779E+11
06/18/2008,1.02073E+11,1.02073E+11,4.46355E+11,4.46355E+11
06/23/2008,1.03666E+11,1.03666E+11,4.49868E+11,4.49868E+11
06/24/2008,1.06388E+11,1.06388E+11,4.76849E+11,4.76849E+11
06/26/2008,1.13711E+11,1.13711E+11,5.52246E+11,5.52246E+11
06/27/2008,1.16348E+11,1.16348E+11,5.77357E+11,5.77357E+11
07/01/2008,1.35554E+11,1.35554E+11,6.19752E+11,6.19752E+11
07/03/2008,1.35822E+11,1.35822E+11,6.20335E+11,6.20335E+11
07/08/2008,1.38508E+11,1.38508E+11,6.4821E+11,6.4821E+11
