gene_name	introns	transcripts	proteins
CG11791	6	17	2
snoRNA:Psi18S-1295	0	1	0
CG11796	4	2	2
CG31202	0	2	2
CG42758	1	1	1
Ho	2	1	1
CG13321	6	5	5
CG13322	7	6	1
CG13323	2	3	1
CG13324	0	1	1
CG13325	11	2	1
CG13326	3	1	1
CG14247	0	1	1
mir-2500	0	1	0
mir-2501	0	1	0
eIF-2gamma	4	2	1
CG11168	14	26	11
CG14245	0	2	1
CG4101	1	2	2
Syt1	15	119	16
SPR	6	2	1
snRNP-U1-70K	6	16	1
Br140	3	1	1
CG8654	9	7	1
Syt7	17	29	5
Sac1	2	4	2
tRNA:S4:12Eb	0	1	0
Cyp6a19	2	2	2
Cyp6a18	1	1	1
Cyp6a17	1	1	1
Cyp6a14	2	4	3
Cyp6a13	0	1	1
SPE	4	3	2
Ent3	4	4	2
Mgn3878	1	6	0
CG34027	14	2	2
mir-4909	0	1	0
CG31189	2	1	1
CR43297	2	4	0
Tektin-C	4	3	2
Tektin-A	3	2	2
CG13492	6	2	2
CG31710	3	3	2
jigr1	20	31	3
CG31712	3	4	2
CG31715	5	3	3
CG31714	21	2	2
CG31717	1	2	1
CG4049	9	5	3
CG42615	1	2	1
CG42613	22	355	17
CG4041	5	6	1
CG4042	0	1	1
Parg	1	5	3
CG4045	3	1	1
CG42618	1	2	1
14-3-3zeta	15	107	5
CG10005	8	6	4
CG13855	6	3	2
CG8116	5	18	1
Prp31	3	2	1
CG10777	3	17	1
CG13759	4	6	2
Prp38	0	1	1
Cyp6u1	2	3	1
RpL24-like	1	5	2
Rtf1	3	2	1
CG14569	0	1	1
CG14568	0	1	1
CG14567	0	2	2
CG14566	3	3	1
CG14565	0	1	1
CG14564	0	1	1
CG14563	1	1	1
CG14562	6	1	1
CG14561	2	5	2
CG8207	3	1	1
CG31205	1	1	1
rictor	12	4	2
vig2	7	9	7
CG13186	0	3	1
CG3192	2	3	1
fd68A	12	16	6
CG10674	1	1	1
CG10673	0	2	1
CG10672	4	5	4
CG10671	2	2	2
CG12811	3	9	1
Pif2	1	2	2
CG18449	0	1	1
CG12817	5	6	3
Aats-met	5	2	2
CG12818	2	1	1
CG18446	1	2	1
Ranbp16	24	32	17
chr2R_5332923_5333301.0	0	1	0
tRNA:M-i:61D	0	1	0
noncoding_4296	1	1	0
snoRNA:U3:54Aa	0	1	0
H15	6	4	2
chr2L_18313534_18314078.0	0	1	0
snoRNA:U3:54Ab	0	1	0
CG17111	7	1	1
CG14309	2	1	1
Acp63F	2	2	1
CG14302	1	1	1
CG14301	5	7	1
CG14300	1	1	1
CG14305	4	4	1
Mgn99817	0	1	0
CG7246	3	1	1
CG5071	4	9	3
CG3198	4	5	1
CG17110	3	2	1
CG7248	1	1	1
wtrw	7	6	3
CG33710	5	3	3
CG12268	6	2	1
chr2L_17902827_17903063.0	0	1	0
nullo	0	1	1
CG2921	3	1	1
CR42839	2	2	1
Mgn4187	0	2	0
Mgn4183	0	2	1
CG9689	1	4	2
CG3906	1	1	1
CG3907	8	4	1
CG3902	3	1	1
His1:CG31617	0	1	1
Syt4	5	6	1
CG9682	11	17	17
mir-2b-2	0	1	0
CG9684	5	2	2
mir-2b-1	0	1	0
CG42870	1	2	1
CG42876	1	2	2
CG4557	5	2	2
p47	5	4	4
MEP-1	11	13	2
CG42878	1	1	1
CG2051	4	4	4
dnd	3	1	1
CG2053	2	2	2
CG7025	4	1	1
CG7024	1	1	1
CG2059	5	3	1
CG33958	12	2	2
CG7029	16	107	27
CG7028	14	13	9
CG12640	0	1	1
CG43121	0	1	1
dnk	3	3	2
Gr97a	1	1	1
CaMKI	41	3992	7
dnt	4	3	2
Mgn924	0	2	0
Jon44E	0	1	1
Mgn922	0	2	1
Mgn920	1	2	0
CG15912	0	1	1
Mgn928	0	2	1
BoYb	0	1	1
Mocs2	4	1	1
CG5089	0	2	1
CheA84a	1	1	1
CG5080	6	9	4
CG5087	8	5	3
CG5084	2	1	1
KaiRIA	13	1	1
CG1979	2	1	1
Cp16	1	1	1
stumps	11	10	8
CG1971	3	5	2
CG1970	5	2	2
Mdr65	11	1	1
CG6325	6	4	2
CG8316	4	2	2
l(3)neo43	1	2	2
CG5021	6	7	7
CG6196	1	1	1
CG6197	2	3	3
CG6191	9	13	3
CG9350	4	2	1
chrX_5874585_5874933.0	0	1	0
CG33128	0	1	1
Jarid2	3	2	1
RpII15	2	4	1
CG11236	4	2	2
Sry-beta	2	2	2
CG34104	10	4	3
TwdlL	1	2	2
CG16956	1	2	2
CG16957	0	1	1
CG8336	5	4	1
CG8334	17	7	7
CG8335	2	2	2
CR32511	1	1	0
MrgBP	1	2	1
CG31019	3	1	1
Lk	0	1	1
CG33696	6	4	2
snoRNA:Me28S-C3227b	0	1	0
snoRNA:Me28S-C3227a	0	1	0
cpo	27	346	26
CG4781	0	1	1
Sox102F	10	15	3
CR43768	0	1	0
cype	3	2	1
CG33127	0	1	1
CG31413	0	1	1
Dbx	4	1	1
Obp19b	2	1	1
s-cup	4	2	2
CG43317	2	3	2
CG6370	3	1	1
how	15	59	9
CG9531	2	1	1
5SrRNA:CR33379	0	1	0
CG9536	3	4	1
CNT1	6	1	1
5SrRNA:CR33372	0	1	0
5SrRNA:CR33373	0	1	0
5SrRNA:CR33370	0	1	0
5SrRNA:CR33376	0	1	0
5SrRNA:CR33377	0	1	0
5SrRNA:CR33374	0	1	0
5SrRNA:CR33375	0	1	0
Ube3a	7	8	4
CG6206	12	4	4
CG1358	14	6	1
CG8485	8	3	1
CR43615	0	1	0
CR42836	1	1	1
CG8481	6	12	3
smt3	2	2	1
CG30099	0	1	1
BG642163	2	2	2
Mgn3988	0	2	1
PebII	1	2	1
chr3L_6297407_6298622.0	1	1	0
CG30091	4	2	1
CG30090	3	1	1
